446400,2724973.11,1058491.79
447300,2743876.56,969573.39
448200,2880859.68,1073769.84
449100,2963859.01,1070940.31
450000,2853762.36,1118787.78
450900,2910943.27,1115897.19
451800,2949820.77,1162276.25
452700,2916176.79,1148048.31
453600,2928109.5,1127379.64
454500,3117046.97,1221050.99
455400,3051009.06,1202132.35
456300,3013644.47,1167092.65
457200,2956524.81,1133756.93
458100,3087638.12,1150565.64
459000,3146436.95,1235512.76
459900,3076248.41,1170613.86
460800,3035598.36,1154845.92
461700,3221411.04,1278257.45
462600,3184985.05,1242554.44
463500,3110619.87,1240506.59
464400,3277754.15,1281216.61
465300,3173083.56,1184177.31
466200,3257566.5,1214961.27
467100,3156351.01,1197468.93
468000,3326232.24,1282015.87
468900,3059476.23,1246648.04
469800,3208937.81,1199392.55
470700,3226581.21,1212777.19
471600,3357403.11,1312993.56
472500,3487900.18,1361778.44
473400,3294857.48,1248882.02
474300,3374148.01,1239495.12
475200,3304912.54,1243795.9
476100,3362063.78,1257438.26
477000,3270199.77,1261962.8
477900,3306522.22,1255003.78
478800,3338453.8,1267015.96
479700,3356279.3,1218519.1
480600,3158189.3,1157746.86
481500,3267260.93,1230581.63
482400,3212953.03,1171824.37
483300,3133035.64,1140828.09
484200,3224013.24,1192286.5
485100,3276829.74,1162536.53
486000,3334301.7,1147168.67
486900,3303572.2,1189335.94
487800,3248995.88,1160986.18
488700,3178851.29,1149027.47
489600,3163792.97,1117052.95
490500,3108391.3,1109106.35
491400,3203109.38,1150649.69
492300,3101985.81,1086174.41
493200,3151934.05,1154437.87
494100,3155469.91,1188681.06
495000,3028691.8,1031428.25
495900,2945111.94,1046604.4
496800,2908624.05,1049490.23
497700,2871450.16,1047584.66
498600,2805763.28,1087217.65
499500,2822096.65,1113216.8
500400,2752213.44,1057801.39
501300,2719256.1,1060913.27
502200,2581097.35,1099083.25
503100,2577752.11,1074949.13
504000,2677540.92,1137272.74
504900,2582324.8,1039704.44
505800,2607785.61,1036811.46
506700,2507931.24,1003478.85
507600,2544361.18,1026048.34
508500,2737366.06,1137993.62
509400,2742863.53,1120263.79
510300,2704695.37,1088570.8
511200,2743904.94,1119130.0
512100,2700029.85,1103743.1
513000,2701135.62,1075390.14
513900,2793842.38,1136986.45
514800,2719069.79,1085121.37
515700,2756316.28,1105446.17
516600,2798032.2,1128543.37
517500,2754841.09,1113500.61
518400,2776843.87,1170356.41
519300,2844827.64,1135458.62
520200,2780538.12,1109263.64
521100,2802641.6,1137698.0
522000,2840070.01,1123597.41
522900,2828556.79,1125071.69
523800,2795061.04,1072311.22
524700,2912350.07,1143547.39
525600,2800672.12,1069810.46
526500,2849007.02,1080846.77
527400,2893234.59,1116613.59
528300,2969990.11,1116248.84
529200,3002353.91,1185527.71
530100,2748420.32,1102504.85
531000,2771532.71,1088678.01
531900,2793257.26,1099170.96
532800,2777149.66,1060038.02
533700,2821725.4,1086044.04
534600,2900967.86,1114217.47
535500,2966335.51,1102046.08
536400,2984108.18,1090065.49
537300,3060220.18,1157910.37
538200,3066835.6,1209826.26
539100,3011449.13,1103045.01
540000,3024984.74,1124415.99
540900,3146594.88,1152921.39
541800,3098426.06,1226380.65
542700,3089187.29,1170280.33
543600,3089069.92,1195060.64
544500,3178069.34,1229140.96
545400,3225712.28,1315449.83
546300,3174749.54,1285112.73
547200,3268686.95,1285526.55
548100,3212434.84,1314031.77
549000,3101833.83,1225140.01
549900,3303243.16,1367016.27
550800,3251119.08,1302206.45
551700,3230974.82,1299032.59
552600,3317947.81,1405963.44
553500,3322398.83,1308614.78
554400,3279939.42,1253510.1
555300,3408980.35,1274617.68
556200,3381470.86,1308495.12
557100,3274788.76,1297761.75
558000,3284218.69,1306028.69
558900,3319754.52,1292084.93
559800,3379597.78,1279319.0
560700,3380208.16,1318667.27
561600,3255094.12,1262844.45
562500,3458134.46,1362833.77
563400,3361138.55,1301860.38
564300,3370688.87,1297715.88
565200,3468612.95,1346233.89
566100,3375772.16,1335550.96
567000,3285840.45,1280638.28
567900,3298345.0,1315854.95
568800,3254182.43,1284376.01
569700,3303296.26,1248711.91
570600,3351949.13,1263145.02
571500,3274840.67,1199930.88
572400,3241329.99,1237551.64
573300,3167467.71,1148851.14
574200,3118600.43,1204477.11
575100,3230332.95,1233361.72
576000,3061061.55,1139887.3
576900,3081384.25,1207080.87
577800,3032528.41,1142920.81
578700,3147640.96,1209347.9
579600,3054691.13,1224459.32
580500,2979845.21,1140149.87
581400,2976870.94,1066521.24
582300,2889050.63,1015858.34
583200,2952248.02,1091738.53
584100,2856750.92,1020807.59
585000,2829048.61,1048609.59
585900,2839324.77,1066331.45
586800,2892305.88,1102872.25
587700,2802415.92,1045463.75
588600,2705114.14,1103541.5
589500,2649023.53,1129598.69
590400,2573500.85,1095473.51
591300,2565013.73,1116909.67
592200,2592516.08,1101920.65
593100,2525107.45,1079995.15
594000,2552643.95,1074814.91
594900,2697188.05,1179322.63
595800,2752117.13,1164084.78
596700,2713564.91,1194269.26
597600,2737102.57,1206068.48
598500,2727250.85,1194392.3
599400,2742931.09,1206738.65
600300,2814586.49,1191049.53
601200,2729639.74,1121701.81
602100,2836814.94,1165926.18
603000,2723685.52,1142452.33
603900,2800695.01,1142550.48
604800,2820540.71,1166925.66
605700,2739050.63,1145533.54
606600,2734098.27,1129400.12
607500,2830057.53,1175597.26
608400,2731503.48,1117959.59
609300,2818385.38,1172871.83
610200,2830432.34,1178158.08
611100,2787834.23,1161092.19
612000,2806190.83,1153481.78
612900,2920981.38,1199618.77
613800,2865407.32,1145012.88
614700,3090914.15,1229945.16
615600,3067200.07,1244151.95
616500,2766791.56,1117903.47
617400,2841160.31,1122216.8
618300,2807593.14,1128776.0
619200,2868256.35,1129269.84
620100,2965213.53,1144903.2
621000,3056438.14,1158035.06
621900,3074611.82,1112310.61
622800,3025236.88,1155064.91
623700,3067378.97,1105396.0
624600,3086719.21,1136624.18
625500,3195601.23,1245308.99
626400,3072575.32,1115958.98
627300,3199502.01,1236669.16
628200,3245713.26,1153462.1
629100,3190235.05,1183465.76
630000,3232465.76,1254132.11
630900,3225612.58,1216919.13
631800,3220420.44,1236192.99
632700,3163838.01,1240660.4
633600,3096921.39,1243297.67
634500,3156071.69,1276391.51
635400,3218498.66,1305248.93
